"title","category","bluesky","twitter","type","did"
"Giorgi Dalakishvili","dev","giorgi.dev","giodalakishvili","mvp","did:plc:dckepsddrqipaxrs4jaqkkrx"
"Jess (GirlGerms) Dodson","security","girlgerms.wtf","girlgerms","microsoft","did:plc:63ithjneqdbz3og44slfprmw"
"Glen Scales","dev","glenscales.bsky.social","glenscales","mvp","did:plc:4rzu5pgisrbcr3asrwgocvld"
"Levi Broderick","dotnet","grabyourpitchforks.bsky.social","levibroderick","microsoft","did:plc:jafz7adx57np6e5xbcb2beh3"
"Greg Nottage","intune","gregnottage.bsky.social","greg_nottage","microsoft","did:plc:kssl2l27xicn47hptconn2af"
"Dimitar Grozdanov","azure","grozdanovd.bsky.social","grozdanovd","mvp","did:plc:uv7utf6lnr267yiz7gw4lr42"
"Guido Zambarda","microsoft365","guidozam.bsky.social","iamguidozam","mvp","did:plc:ic36drvij3g5flmst46kyjcs"
"Gus Perez","dev","gusperez.com","","microsoft","did:plc:tlp64mwkrohsj2pak3szt53w"
"Guy Leech","powershell","guyrleech.bsky.social","guyrleech","mvp","did:plc:tzhrwvnocrxyntumxmomcehb"
"Haflidi Fridthjofsson","azure","haflidif.bsky.social","haflidif","microsoft","did:plc:uztnkug2g55htpy3jqlrzllc"
"Jan Hajek","azure","hajekj.net","hajekj","mvp","did:plc:d42xcenk5hfxrpxeumfdmn5d"
"Harm Veenstra","dev","harmveenstra.bsky.social","harmveenstra","mvp","did:plc:552wqjyuq5dnmc2izzgvudcs"
"Andreas Hartig","azure","hartiga.bsky.social","","mvp","did:plc:6fttcl2paw4u2z7wvzlin4p4"
"Håvard Øverås",,"havard.bsky.social","havardoveras","None","did:plc:ioucututfefepyz5ejdrlj3d"
"Hawk Ticehurst","dev","hawkticehurst.com","","microsoft","did:plc:fxipo3ogt5nrxjddervd4hxa"
"Christian Ritter | MVP","powershell","hcritter.bsky.social","blackboxcoder","mvp","did:plc:dqpes6g4mscay4oynzumxfpi"
"Heather Cook","microsoft365","heddamaven.bsky.social","heddamaven","microsoft","did:plc:lg6ytbibx5djl3xbxqoufq7k"
"Helmer Zandbergen","microsoft365","helmer.msgeek.nl","helmernl","microsoft","did:plc:lwyclp4vagxqenrted3pgrgd"
"Henning Kilset","dotnet","henning.kilset.no","hkilset","microsoft","did:plc:5dksticfgc7zjbmbgfurlf6x"
"Pascal Berger","dev","hereispascal.bsky.social","hereispascal","mvp","did:plc:4fk2lkzcrahxdoy6rfa3vpot"
"Eduard Keilholz","azure","hexmaster.nl","","mvp","did:plc:z63p6imykexafomwpz7ubpp2"
"Hjalmar",,"hjalmar-blue.bsky.social","","None","did:plc:ysqopu6o7mufsb25ixo4ujps"
"Håvard","azure","hlokensgard.bsky.social","","mvp","did:plc:kkqnmnywl27zgxxg7pasui7m"
"Hotzenwalder",,"hotzenwalder.bsky.social","hotzenwalder","None","did:plc:vovgfs5dmasrthnrvtqlousw"
"HubSite 365 - All about Microsoft 365 and Power Platform",,"hubsite365.bsky.social","hubsite365","None","did:plc:e2xw4wwjkseudlo4cl2tqshy"
"Pasi Huuhka","azure","huuhka.net","drbushytop","mvp","did:plc:pp4le25rzy6xqng7ob6psok5"
"Howard van Rooijen","azure","hvr.endj.in","howardvrooijen","mvp","did:plc:ugr3hbsnqejsp52vuc6mz2ck"
"Ian Moran",,"ianmoran.bsky.social","ianmoran","None","did:plc:7nuc43fgseduhkay6fxmnyso"
"Igor Abade","dev","igorabade.com.br","igorabade","mvp","did:plc:mbigfnx5uw3cjveadggsqu5d"
"Michele Sensalari","security","ilsensa7.bsky.social","ilsensa7","mvp","did:plc:elslugp4gn437oc2hathmjrm"
"Imran Rashid","azure","imranrashid.bsky.social","@itsupportblog","microsoft","did:plc:v4smvojefocysgrl5fbbathr"
"Truls","security","infernux.bsky.social","","mvp","did:plc:dksfs6ypiacdcn3wf4d5p6gw"
"Joël Prins",,"intothecloud.bsky.social","0125joel","None","did:plc:42k4htomgkl67s2j5cnbhrom"
"IntuneStuff - Joery Van den Bosch - Microsoft MVP","intune","intunestuff.bsky.social","intunestuff","mvp","did:plc:tynyii2sayncj3y7pabnac7v"
"Scott Williams",,"ip1.bsky.social","ip1","None","did:plc:wxy444yjwm4bgen2c5j42vdl"
"Sandra Saluti",,"irean.delusional.nu","sandrasaluti","None","did:plc:xyu5b5rpxrkgh4hlxb6bfqye"
"David Aronchick",,"ironyuppie.com","aronchick","microsoft","did:plc:3abngzmgrntk35hlah5gjzs5"
"IAMRY",,"itguyry.com","theimmaturedad","None","did:plc:6jsuowbmh6rrwg3xk3phxg2x"
"Alex Powers","data","itsnotaboutthecell.bsky.social","notaboutthecell","microsoft","did:plc:qgxrhtavp4haeysnbcfsgbpd"
"Riccardo Corna","intune","itspecialist.cloud","","microsoft","did:plc:l6g2yhok4r4casy53nxibb6m"
"Iván Moreno ",,"ivmore.bsky.social","ivmore","None","did:plc:sh2vacs7rk64lhkikktbcup4"
"Jaap",,"jaapk.bsky.social","","None","did:plc:jl6mh4trdjsv7jhkx3xnmftk"
"Jack Tracey","azure","jacktracey.co.uk","jack_ref","microsoft","did:plc:vgx6kfg52d736rqefyhkahqm"
"Abhijeet Jadhav","microsoft365","jadhavjeet.bsky.social","","mvp","did:plc:zorwqxpd5nakz63wdqsy6ewc"
"Jakob Schaefer",,"jakobschaefer.bsky.social","jak0b_s?s=21&t=p-paljhc8ny4cko6m35rgw","None","did:plc:tkoxop4bdj5bn7noc3ngyfum"
"James Eastham",,"jameseastham.co.uk","plantpowerjames","None","did:plc:g72vfmv6m2kyvikk4rrljktu"
"James Croft","azure","jamesmcroft.bsky.social","jamesmcroft","microsoft","did:plc:3lm2b5yfgjbf3qdewgqsxqn4"
"Jamie Maguire","ai","jamiemaguire.bsky.social","jamie_maguire1","mvp","did:plc:byf2selbvmbd2vxd3wgyupdb"
"Jan de Vries","azure","jan-v.nl","jan_de_v","microsoft","did:plc:a7fuln2dy7xlnnl74rved2i2"
"Jan De Dobbeleer","dev","jan.ohmyposh.dev","jandedobbeleer","mvp","did:plc:ttcvu32prgqg7hglyye6doys"
"Jan de Groot",,"jandg.bsky.social","","None","did:plc:6t3dhhuhorn3ie7a3viwmehw"
"Jan Ketil Skanke [MVP]","intune","jankeskanke.com","jankeskanke","mvp","did:plc:abkard6fhdsew5i4bqa3lxgs"
"Jan Vidar Elven","security","janvidarelven.bsky.social","janvidarelven","mvp","did:plc:s2fabivjnh7maq4qijscu6sr"
"Jared Holgate","azure","jared.holgate.dev","","microsoft","did:plc:zlkzfif5z3wfcatsub2raaf4"
"Jason Bock","dotnet","jasonbock.bsky.social","jasonbock","mvp","did:plc:hcq3w6fvco6oycpqh6i46zoo"
"Jason Rivera",,"jasonrivera.bsky.social","sharepointjr","None","did:plc:m6sexyhgd6opjcc42apopsip"
"Jason Lambert",,"jasonrl.bsky.social","jasonrlambert","None","did:plc:lxjy3ojtsb6cbdlfeuuja4tc"
"Jason Tenpenny","azure","jasontenpenny.com","_jasontenpenny","microsoft","did:plc:so3xt2f546bwafa3qhjzr3ph"
"Jasper Baes","security","jasperbaes.bsky.social","baesjasper","None","did:plc:6liioqrczk2fouxmcigth5dq"
"Javier Gualix",,"javiergualix.bsky.social","javiergualix","None","did:plc:ujtokfp5bhfpjhivsi2fy6pp"
"Jordan Borean",,"jborean.bsky.social","boreanjordan","None","did:plc:waaktpm6r63m5frsf7itvkjn"
"Jonathan Channon",,"jchannon.bsky.social","jchannon","None","did:plc:u7srefxzobuzhcy26a45rnyk"
"Jeff Hicks","dev","jdhitsolutions.com","jeffhicks","mvp","did:plc:ohgsqpfsbocaaxusxqlgfvd7"
"Jef Kazimer","security","jeftek.com","jeftek","microsoft","did:plc:livgppvr3srge4zdlp7ho6ft"
"Jen Gentleman","windows","jenmsft.bsky.social","jenmsft","microsoft","did:plc:g7nywl63frmuddq274whiwr6"
"Jens Lorenz im",,"jenslo.bsky.social","","None","did:plc:fbbptnghlvdwa2nfci3sgw5u"
"Jeramiah Dooley","dev","jeramiah.net","","microsoft","did:plc:du5dwrdtshlwedwjcqsmfy6x"
"Jeremy Moskowitz","windows","jeremymoskowitz.bsky.social","jeremymoskowitz","mvp","did:plc:xn4imoomndzqjr6cuxfyusle"
"Jeroen Burgerhout ",,"jeroen.burgerhout.org","burgerhoutj","mvp","did:plc:hbrt2gnnm7gwj66sdm7khpvn"
"Gerald Versluis","dotnet","jfversluis.dev","jfversluis","microsoft","did:plc:ch67finjvbh2hj4qi6hgs5kc"
"Joost Gelijsteen","security","mdmlab.nl","jgelijsteen","mvp","did:plc:l4apgym66befuiesio7hhcat"
"Johannes Kristjansson","intune","jgkps.bsky.social","jgkps","mvp","did:plc:mt2if6rcohf2hy4ap6ysdfqe"
"Stefan Johner","azure","jhnr.ch","johnerstefan","microsoft","did:plc:tjamgnyxywx65ixmhamxtmb2"
"Jignesh Chheda",,"jigneshchheda.bsky.social","","None","did:plc:wrvasndyywpzravo2g6ydn4v"
"Jerome Laban","dotnet","jlaban.bsky.social","jlaban","mvp","did:plc:7twgszkczifcdd4n57kgjxgi"
"Jack Lee","azure","jlee-consulting.bsky.social","jlee_consulting","mvp","did:plc:rtk4jqvn4jst5ngq75ddmatw"
"Jordi Adoumie","windows","joadoumie.bsky.social","joadoumie","microsoft","did:plc:5w74dukwpw4ih6wy7wgvhxub"
"Joanne C Klein 🌸","microsoft365","joannecklein.bsky.social","joannecklein","mvp","did:plc:mkaprimsfovbnkkqauxr2uyv"
"João Ferreira","microsoft365","joao12ferreira.bsky.social","joao12ferreira","mvp","did:plc:mhvkvp2qhbi3aag35zxobeyt"
"Joe Gasper","microsoft365","joe.gasper.org","reactorjoe","mvp","did:plc:d4bwlgrxo3xf74wqpvfddv5z"
"Joe Mayo",,"joemayo.bsky.social","joemayo","None","did:plc:25t5atrycib2wbdj5cpcax4k"
"JohnACook",,"johnacook.bsky.social","johnacook","None","did:plc:slyqggfdtljpdnhipi2s4j6l"
"John Garland","azure","johngarland.bsky.social","dotnetgator","microsoft","did:plc:642z6psbmnxxss5ydvrjtttt"
"John Kilmister","azure","johnkilmister.bsky.social","johnkilmister","mvp","did:plc:zvsdlew6kuosibcvsltuv2jz"
"John Lokerse","azure","johnlokerse.dev","johnlokerse","mvp","did:plc:476yrzninay3kt44ae4tdkqn"
"John Moore","microsoft365","johnmoore.bsky.social","john_moore","mvp","did:plc:54enodgeu33fgqxkk4vpkkgc"
"Jonathan Bourke",,"jonathanbourke.bsky.social","jonathanbourke","None","did:plc:chup6jol3io453bs7xjxtnh5"
"Jon Hilton",,"jonhilton.net","jonhilt","None","did:plc:hsfj774alnwbwj4c6xj7qfko"
"Jon Jarvis","security","jonjarvis.bsky.social","jonjarvis","mvp","did:plc:srp2qyu2cn65outfruez2fof"
"Jon Sagara",,"jonsagara.com","","None","did:plc:zea7wubyosyb5wpclkhgwjtz"
"Joonas Westlin","azure","joonasw.net","joonaswestlin","mvp","did:plc:5un6t7hz6gr4bbtj7udh5s3z"
"Jorge Lopez","security","jorlop.bsky.social","jorgealopez","microsoft","did:plc:e5ab2oot6vq75sy6ilqfot5q"
"Jos Lieben",,"joslieben.bsky.social","joslieben","None","did:plc:4qhrjgs6hmg5ajze2sjcnc77"
"Jess Pomfret","data","jpomfret.bsky.social","jpomfret","mvp","did:plc:b4wi5dqywlknrgg7ofmczq2z"
"Jenn&Tonic",,"jtsveigdalen.bsky.social","jtsveigdalen","None","did:plc:rlo7o225kqh6fd3vvbfsvdcv"
"Juan A Rodríguez",,"juanrodpfft.bsky.social","juanrodpfft","None","did:plc:yovc6cie6x2lrqmks5gsfb5w"
"Jukka Niiranen",,"jukkan.bsky.social","jukkan","None","did:plc:t7xv3tb3erl52soepkeqbjab"
"Julian Rasmussen","security","julianrasmussen.bsky.social","julianrasmussen","mvp","did:plc:x26mjqeygg437p66fvwrwzie"
"Julie Turner","microsoft365","julieturner.net","jfj1997","mvp","did:plc:w7vj5yiinqpiodjo5mhzntgr"
"Jurgen Allewijn","azure","jurgena.bsky.social","jurgenallewijn","mvp","did:plc:5f7r2vl2ytr23kdwpmfednip"
"Jussi Roine • Microsoft MVP","security","jussiroine.com","jussiroine","mvp","did:plc:skk6rn5mk2su5ydlxfanzp43"
"Justin Yoo","dotnet","justinchronicles.net","justinchronicle","microsoft","did:plc:lhxfm2jd3vtntgid2rlazssr"
"Rie Merritt","data","justrie.bsky.social","irishsql","microsoft","did:plc:p4nhukbruc6mq2iczoxkcnuz"
"Joey Verlinden","security","jvldn.bsky.social","jvldn1","mvp","did:plc:fo7dodovpulinxosy3vh6h6k"
"Kamil Baczyk Microsoft MVP","security","kamilbaczyk.bsky.social","kamilbaczyk","mvp","did:plc:7tm5nn5birhozvwq5oavpo7e"
"Karen Payne","dev","karenpaynemvp.bsky.social","karenpaynemvp","mvp","did:plc:m3u6j5nuwdhhckoeloowvklk"
"Karl Ranseier",,"karlranseier.bsky.social","karlranseier","None","did:plc:274pqxddhuqjbc4iurxlbebu"
"Karuana Gatimu (MSFT)","microsoft365","karuana.bsky.social","karuana","microsoft","did:plc:se5h5ok6dxoulhpbk3d5uhpb"
"Kasper Johansen",,"kasperjohansen.bsky.social","kaspermjohansen","None","did:plc:dl7z67krwqacu6eqhzonawjj"
"Kasper Larsen","microsoft365","kasperlarsen.bsky.social","","mvp","did:plc:mikwuzf2z7kjn3p4bhrsxwqe"
"Emanuele Bartolesi","dev","kasuken.bsky.social","kasuken","mvp","did:plc:sbnqfa4h4ubxq3glk6vxmgyt"
"Kay Sauter","data","kaysauter.bsky.social","kaysauter","mvp","did:plc:tib4xe6ikvg5uskorrhtfzcy"
"Keith Mattix","azure","keithmattix.bsky.social","","microsoft","did:plc:l5vohrotjzzycko5tw4yvukb"
"Keith Weaver",,"keithmweaver.com","keithmweaver","None","did:plc:g7x3jjb5h4bs2cuj4edf7pnx"
"Ken Bonny",,"kenbonny.net","bonny_ken","None","did:plc:tgmph6ktwreldgulzevs3mbn"
"Ken Dale",,"kendaleiv.com","kendaleiv","microsoft","did:plc:ybaryn7kplhkcf74ezfffmwb"
"Kenneth van Surksum","security","kennethvs.nl","kennethvs","mvp","did:plc:ig4vcvbphsbcjxyxpvw2xsfy"
"Kenny Lowe","azure","kenny.hybridby.design","kennylowe","mvp","did:plc:iyqocbw65rwbkmx7flvtr7vo"
"Kevin Chant","data","kevchant.bsky.social","kevchant","mvp","did:plc:3cytlhvneapuhsykuitmsrwo"
"Kevin Crossman","microsoft365","kevincrossman.bsky.social","kevincrossman","mvp","did:plc:czebzg4h73ckpg5ufpkkruo5"
"Kevin Gosse","dotnet","kevingosse.net","kookiz","mvp","did:plc:2lntbvb4qbb5q53kcctckd33"
"Kevin Harder",,"kevinharder.com","kevinharder","None","did:plc:2mhwqzglnszamjfe6uhnac72"
"Kevin McDonnell","microsoft365","kevmcdonk.bsky.social","kevmcdonk","mvp","did:plc:w4hbqjb3g7ozzk2p5s5hc3rz"
"Stu Mace","azure","kewalaka.nz","","mvp","did:plc:wvca2ouoqaiprny2hzpyrxvm"
"Daniel 🍁","windows","kidjenius.bsky.social","kid_jenius","microsoft","did:plc:3ibj5lyghwtd44ykjizyordb"
"Kimmo Koski","businessapps","kimmokoski.dev","","mvp","did:plc:x4t6vksqdakfln2zybzjs7ac"
"Kim Oppalfens","intune","kimoppalfens.bsky.social","thewmiguy","mvp","did:plc:iebhndz4i3hlsczqgx4q5l2t"
"Kirill Osenkov","dev","kirillosenkov.bsky.social","kirillosenkov","microsoft","did:plc:2pzomphihuifolrf2w2ow67y"
"Sr. Cuñao",,"kjxcvldzfghhsdk.bsky.social","sr_cunao","None","did:plc:kmdk65y5z7f4nyagneubktxy"
"Antti K. Koskela","microsoft365","koskila.net","koskila","mvp","did:plc:g47pa6s53a6fnm3z6le3rbcr"
"Dinesh K",,"kraken85.bsky.social","","None","did:plc:q2t5pg4amovwkdnqxw5ngyte"
"Krystina","intune","krysonthe.net","","mvp","did:plc:siaqre6arbxumqs7gcgf4xov"
"kurtsh","microsoft365","kurtsh.bsky.social","kurtsh","microsoft","did:plc:jwa3orqocf3rbstky2xv2muf"
"Lawrence Frias",,"l-frias.bsky.social","lfrias","None","did:plc:tx35o2nqmyph5d4pjzzzn3ws"
"Martin Dimovski","azure","lacialec.bsky.social","lacialec","mvp","did:plc:yrbe6vopmiwfdjetlglf2nvn"
"Lance McCarthy","dotnet","lance.boston","l_ancem","mvp","did:plc:ozekxfdo5a4zwv2rm6u6so26"
"Lars Klint ","azure","larsklint.bsky.social","larsklint","mvp","did:plc:hgozxompa5dfevo45b5zoogy"
"Lars Schelvis",,"larsmannetje.bsky.social","","None","did:plc:3vyisgfoqq5n5e3j6xpyctzz"
"Daniel Laskewitz","businessapps","laskewitz.io","laskewitz","microsoft","did:plc:3jut4ujkjzpd2z26xpgqli6h"
"C.J. May",,"lawndoc.cjmay.info","lawndoc","None","did:plc:l6jy7pj76zcm2zzwccixw7zs"
"Layth CHEBBI",,"laythchebbi.bsky.social","laythchebbi","None","did:plc:nvbomtvicncmogcizageneu2"
"Layth CHEBBI",,"laythchebbi.com","laythchebbi","None","did:plc:nvbomtvicncmogcizageneu2"
"Rudy Mens","microsoft365","lazyadmin-nl.bsky.social","lazyadmin","mvp","did:plc:qbj6h2hoh33zcf24o5eciguh"
"Laurent Bugnion","azure","lbugnion.ch","lbugnion","microsoft","did:plc:c6vkti624wulinvr5lcmuyum"
"Stian A. Strysse",,"learningbydoing.cloud","stianstrysse","None","did:plc:xmpoyrutdwfqfwjqu2pr4zuj"
"Lee Ford","microsoft365","lee-ford.co.uk","lee_ford","mvp","did:plc:go4w2vwwodwvztuzgcoql2y6"
"David Lemson",,"lemson.com","x.com/davidlemson","None","did:plc:i4xpbyy4nclgq6wft2xfbwe6"
"Leonard Nelson",,"leo-nel.bsky.social","leonel","None","did:plc:5gvutw6fwrmg6qjbtiexk7k3"
"Leon Armston","microsoft365","leonarmston.com","leonarmston","mvp","did:plc:6gtewudqr7lnv4tbtfkodk3r"
"Lindsay T Shelton 🏳️‍🌈🖤🩶💜","businessapps","lindsaytshelton.bsky.social","lshelton_tech","mvp","did:plc:gh644qnwwcgom5bqdrjvxq6x"
"Carl Cookson","businessapps","linked365.blog","","mvp","did:plc:sdyj2suqafj657evvnuf72gg"
"Business Director ","intune","liorbela.bsky.social","@belalior","microsoft","did:plc:gkn2kafbqp26kx72tpfg5kw2"
"Lyon Till",,"ljtill.bsky.social","ljtill","microsoft","did:plc:4gfdztw2nb54l5is3mys2xas"
"LocalJoost","dev","localjoost.bsky.social","localjoost","mvp","did:plc:tavvboyvjpy7a35nn4dudyt4"
"Luciano Mammino","dev","loige.co","loige","mvp","did:plc:567st5nby2tokcv2kyy5ofzh"
"longpa.bsky.social",,"longpa.bsky.social","","None","did:plc:zniikhghx3nnek5eg6spshbi"
"Loris Ambrozzo",,"lorisambrozzo.bsky.social","lorisambrozzo","None","did:plc:vgm4yw2cm72dz5paoxnchn3b"
"Loryan Strant","microsoft365","loryanstrant.com","loryanstrant","mvp","did:plc:6lhqe3cyrdtlcdsdhnfxddjy"
"Marko Loukkaanhuhta",,"loukkis.bsky.social","drentraid","None","did:plc:fiydfisoj6mjl6u7hj7nsy7o"
"Luise Freese","microsoft365","luisefreese.bsky.social","luisefreese","mvp","did:plc:c4zuinv4gfs5kobrnbvtlfoe"
"Lukas Beran","security","lukasberan.com","lukasberancz","microsoft","did:plc:azedaxsia6qlymzwsqodkigs"
"Luke Murray","azure","luke.geek.nz","lukemurraynz","mvp","did:plc:znu2z66jdvjfz4sh5wcp2tq6"
"Mohamed AbuMuslim (أبومُسْلِم)","security","m19o.bsky.social","m19o__","microsoft","did:plc:ihibfooocmma3yb42xsu4kqo"
"Andrew O’Young","microsoft365","m365senpai.com","andrewoyoung","mvp","did:plc:6xpeuzfgmxvfng5blyo27hcg"
"Maarten Eekels","ai","maarten.eekels.net","maarteneekels","mvp","did:plc:kjsl33hjq2dzooz6m6v45cj4"
"Rutger Truyers","security","maasdal.com","","microsoft","did:plc:oxa3utdgqy5uk3ca3iqowtvs"
"Martina Grom","microsoft365","magrom.bsky.social","@magrom","mvp","did:plc:l4lq74rf7hflh7obtjmwlqzt"
"Maik van der Gaag","azure","maikvandergaag.bsky.social","maikvandergaag","mvp","did:plc:6wnhveck7twshql6zne6tgju"
"Maira Wenzel","dotnet","mairaw.bsky.social","mairacw","microsoft","did:plc:rd54zh23ou2nysgznsmzqz2f"
"Daniel Weise",,"makonis.bsky.social","","None","did:plc:3liifuzes3pie7abbrg6qelx"
"Jeroen Ebus",,"manage-the.cloud","jeroenebus","None","did:plc:kxexfzmw6cuofleslan4fl3x"
"Maximilian Stein","security","manaiakalani.bsky.social","@manaiakalani","microsoft","did:plc:kurxpumma6piictgpr424wcj"
"Manel Rodero",,"manelrodero.bsky.social","manelrodero","None","did:plc:kyzktzamkmfpaodjys3oiwim"
"Manuel Berrueta","security","manuelberrueta.bsky.social","manuelberrueta","microsoft","did:plc:dm3bkqdcrq6bjy4f5dbrerxh"
"Marcel Ferreira","businessapps","marcelbf.com","marcel_ferreira","microsoft","did:plc:6hcahvvrwbs2pxzyqoqcic4b"
"Marcin Siewnicki","microsoft365","marcinsiewnicki.bsky.social","marcinsiewnicki","mvp","did:plc:mqvnnqj4bwqip3lceaj2djpq"
"Marco Gerber","azure","marcogerber.bsky.social","rolebasedpotato","mvp","did:plc:v6pzxpyubju32m7iol5jj7fh"
"Marco Gerber","azure","marcogerber.ch","rolebasedpotato","mvp","did:plc:v6pzxpyubju32m7iol5jj7fh"
"Marco Heijkoop",,"marcoheijkoop.nl","marcoheijkoop","None","did:plc:jqeaiawvruv4bx4kqvn2spkc"
"Marco Minerva","dev","marcominerva.bsky.social","marcominerva","mvp","did:plc:ergjbqyyiijkvnkc2gywrbwf"
"Michael Mardahl","modernwork","mardahl.bsky.social","michael_mardahl","mvp","did:plc:4mf73mf65lhu63deqiuyhxfw"
"Mark Simos","security","markasimos.bsky.social","marksimos","microsoft","did:plc:aoywj7timjr4nmftok33iwh3"
"Mark Morowczynski","security","markmorow.com","markmorow","microsoft","did:plc:wtwi6qsnimx7eu2s7leb3gny"
"Mark Oliver",,"markoliver.website","micboliver","None","did:plc:vmuj6ipnu2u6osubainkbbro"
"Mark Oldham",,"markouk.bsky.social","","None","did:plc:2xucsgtaf5wuyqjmvrz36gme"
"Mark Russinovich","azure","markrussinovich.bsky.social","","microsoft","did:plc:baglxmt2hfmzfaddt7a2xj27"
"Mark Scholman","azure","markscholman.com","markscholman","mvp","did:plc:rsxdv6b2vwfk7vpumcwgghvf"
"Mark Tinderholt","azure","markti.bsky.social","marktinderholt","microsoft","did:plc:wlp2sbuhzjznbhqxc4mertq5"
"Markus Michalski",,"markusmichalski.bsky.social","markusmichalski","None","did:plc:g6qg26ssd7vez4w7klm4iujj"
"Mark Allan",,"markxa.com","markxa","None","did:plc:47f4tkbqxtqkrownz36ih26h"
"Martin Rublik",,"martin-rublik.bsky.social","martin_rublik","None","did:plc:5v7wgb6yr642lmnyrqtdsm2a"
"Martin Tuip","azure","martintuip.bsky.social","mtuip","microsoft","did:plc:ulioz5duhmnvu7ncdabmj4w6"
"Marvin Bangert","businessapps","marvinbangert.bsky.social","marvinbangert","mvp","did:plc:4okpfstota5dysrbyb7hiv7c"
"Mary Branscombe",,"marypcbuk.bsky.social","marypcbuk","None","did:plc:nejscld5zlavytijxz27qhvj"
"Matt Benninge",,"matbe.bsky.social","matbg","None","did:plc:csq6nggfpgw7jlwv5qqe6hzp"
"Máté Tóth","businessapps","matetoth.hu","","mvp","did:plc:jfopezllqjlk753ehec4ev6m"
"Mats Estensen ",,"matsest.mxe.no","matsest","None","did:plc:d7wibeayjn6otb7q5arjxnit"
"matt-ffffff","azure","matt-ffffff.bsky.social","matt-ffffff","microsoft","did:plc:633fhlzeq5dtlld5xp73hszr"
"Matthew Levy","security","mattchatt.bsky.social","mattchatt42","mvp","did:plc:lgog3uicapcu2ichso4hqw6o"
"Matt Krause","microsoft365","mattckrause.bsky.social","","microsoft","did:plc:77psfpbzk5pirpvv7uphdfw5"
"Matt Ferderer",,"mattf.im","mattferderer","None","did:plc:4cawcssatltl6cckcadjm7yg"
"Max Fritz","microsoft365","maxafritz.bsky.social","maxafritz","microsoft","did:plc:u74ul2poby4642jhja2upobp"
"Max Baldt","microsoft365","maxbaldt.bsky.social","maxbaldt","microsoft","did:plc:l6rrj2vq4iugxmwpjae2l74f"
"Martijn Brant","azure","mbr.bsky.social","martijnbrant","microsoft","did:plc:a3ezcafa7xqg52vob5coairv"
"mbg",,"mbrg0.bsky.social","mbrg0","None","did:plc:ooarmoll72ejbd6okfsegdk3"
"mcorrado82","intune","mcorrado82.bsky.social","mcorrado82","microsoft","did:plc:2gbyc6rfq7nndwy5ae3mdcmz"
"Michel de Rooij","microsoft365","mderooij.bsky.social","mderooij","mvp","did:plc:ym2gedhhll5ihj2ldqmdm7vn"
"MEM Summit",,"memsummit.bsky.social","memsummit","None","did:plc:knpbn3cp7yjijagkrcjsfetv"
"Merill Fernando","security","merill.net","merill","microsoft","did:plc:m3p5j3o66yghzlkbwnbgmcsi"
"Mert Yeter","ai","mertyeter.bsky.social","m3rtyeter","mvp","did:plc:kt4jqfcfi6m34544h32m3c33"
"Carlos Mestre del Pino","azure","mestredelpino.com","","microsoft","did:plc:jndtif5t4czar5ij5vmdepdd"
"Gérald Barré","dev","meziantou.net","meziantou","mvp","did:plc:oqifaluojncgrgz4j25pq4r7"
"Majid Hajian ","azure","mhadaily.bsky.social","mhadaily","microsoft","did:plc:etn4y7dgetstnpz7tjqp6iav"
"Will Thompson","data","mi77.bsky.social","will_mi77","microsoft","did:plc:fqy6hpkpib3vtfkgwrdrsgs7"
"Michael Epping","security","michaelepping.com","_michaelepping","microsoft","did:plc:uz56v4rtsjchhukck3bmsmgh"
"michaeljonsson.bsky.social","azure","michaeljonsson.bsky.social","michael_jonsson","microsoft","did:plc:uile4fhdffc74ut7f3auriab"
"Michael Mukalian","microsoft365","michaelmukalian.bsky.social","","microsoft","did:plc:2lbwua7iyntdfkd3gqjfx3s7"
"Michel Laplane","businessapps","michellaplane.bsky.social","@michellaplane","mvp","did:plc:4b347dxmhq4wcmpxituaaqah"
"Michal Strehovsky","dotnet","migeel.sk","mstrehovsky","microsoft","did:plc:tayqagcx4l27e4fvvyfcr4rb"
"Miha Zupan","dotnet","mihubot.xyz","_mihazupan","microsoft","did:plc:oxtfok5j33h2sc7b7qfiowmr"
"Mikael Svenson","microsoft365","mikaelsvenson.bsky.social","mikaelsvenson","microsoft","did:plc:s366skdxvndpym2kljhk5we5"
"Mike F. Robbins","azure","mikefrobbins.com","mikefrobbins","microsoft","did:plc:wqg3xumuue3v5nyd7fokoon3"
"Mike Marable",,"mikemarable.bsky.social","@mike_marable","None","did:plc:6q5fouvis6g2hxqdvvfm5yd7"
"Mike Nelson","azure","mikenelson.bsky.social","mikenelsonio","mvp","did:plc:qe6cr2uho7gguuu544pvimgy"
"Michiel van Oudheusden","azure","mivano.bsky.social","mivano","mvp","did:plc:kgp3nz2yz2xwoo4azevkhg4s"
"Mark Ka$hman","microsoft365","mkashman.bsky.social","mkashman","microsoft","did:plc:qed27ts2bdxtn6jbmtbks77y"
"Mallory lawhorne","businessapps","mlaw91.bsky.social","mlaw91?s=21&t=p_jchqlpwvk31i494iwiyq","microsoft","did:plc:7sich77nbmas6kyzdbidrtt5"
"Marc Nahum","intune","mnahum.bsky.social","marciton","microsoft","did:plc:4nj7qdmnrqhtbr5cpxdqqzqi"
"Mobile Jon","security","mobilejon.bsky.social","m0bilej0n","mvp","did:plc:bd5yeki5mlvcn4nikkhg5dog"
